commons-daemon|commons-daemon|1.2.4
commons-io|commons-io|2.11.0
org.apache.commons|bcel|6.5.0
org.apache.commons|commons-beanutils|1.9.4
org.apache.commons|commons-cli|1.5.0
org.apache.commons|commons-codec|1.15
org.apache.commons|commons-collections4|4.4
org.apache.commons|commons-compress|1.21
org.apache.commons|commons-configuration2|2.7
org.apache.commons|commons-crypto|1.1.0
org.apache.commons|commons-csv|1.9.0
org.apache.commons|commons-dbcp2|2.9.0
org.apache.commons|commons-dbutils|1.7
org.apache.commons|commons-digester3|3.2
org.apache.commons|commons-email|1.5
org.apache.commons|commons-exec|1.3
org.apache.commons|commons-fileupload|1.4
org.apache.commons|commons-geometry-*|*
org.apache.commons|commons-jci-*|*
org.apache.commons|commons-jcs-*|*
org.apache.commons|commons-jcs3-*|*
org.apache.commons|commons-jelly|1.0.1
org.apache.commons|commons-jexl3|3.2.1
org.apache.commons|commons-jexl|2.1.1
org.apache.commons|commons-jxpath|1.3
org.apache.commons|commons-lang3|3.12.0
org.apache.commons|commons-logging|1.2
org.apache.commons|commons-math3|3.6.1
org.apache.commons|commons-net|3.8.0
org.apache.commons|commons-numbers-*|*
org.apache.commons|commons-pool2|2.11.1
org.apache.commons|commons-rdf-*|*
org.apache.commons|commons-release-plugin|1.7
org.apache.commons|commons-rng-*|*
org.apache.commons|commons-text|1.9
org.apache.commons|commons-validator|1.7
org.apache.commons|commons-vfs2-*|*
org.apache.commons|commons-weaver-*|*
